0	96
1	94
2	92
3	90
4	88
5	86
6	84
7	82
8	80
9	78
10	76
11	74
12	72
13	70
14	68
15	66
16	65
17	67
18	69
19	71
20	73
21	75
22	77
23	79
24	81
25	83
26	85
27	87
28	89
29	91
30	93
31	95
32	64
33	62
34	60
35	58
36	56
37	54
38	52
39	50
40	48
41	46
42	44
43	42
44	40
45	38
46	36
47	34
48	33
49	35
50	37
51	39
52	41
53	43
54	45
55	47
56	49
57	51
58	53
59	55
60	57
61	59
62	61
63	63
64	32
65	30
66	28
67	26
68	24
69	22
70	20
71	18
72	16
73	14
74	12
75	10
76	8
77	6
78	4
79	2
80	1
81	3
82	5
83	7
84	9
85	11
86	13
87	15
88	17
89	19
90	21
91	23
92	25
93	27
94	29
95	31
